r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-7664122263.7590714 4.8705555644884129 -9.6358497208599263e+51 -7.6985350177674528e+33 300068191.81363976 1.7521882701489868e+20 3715.9220993751992 0.35123980970822244 4.455508412989593e+17 " " c 2.207969355115313
-7650362618.7612972 4.8516100118514078 -9.6189876908534734e+51 -7.6608523135724494e+33 300414835.9929232 1.7566606707948647e+20 3720.0900338160222 0.35123602972485135 4.4939994814230227e+17 " " c 2.2073651655957414
-7636602973.7635231 4.8327113622631401 -9.6020223222451942e+51 -7.6232628995413858e+33 300761024.59485787 1.761132194048427e+20 3724.247033884008 0.35123226900704096 4.532702230080608e+17 " " c 2.2067610171297258
-7622843328.765749 4.8138597007436683 -9.5849536183388263e+51 -7.5857669447791562e+33 301106756.3192907 1.7656027968127667e+20 3728.3930906083679 0.35122852744280603 4.5716167102817363e+17 " " c 2.2061569140609496
-7609083683.7679749 4.7950551113483311 -9.5677815892883092e+51 -7.5483646164718316e+33 301452029.86855721 1.7700724360084049e+20 3732.5281952247637 0.35122480492096292 4.6107429634420666e+17 " " c 2.2055528607413089
-7595324038.7702007 4.7762976771682304 -9.5505062521283537e+51 -7.5110560798876116e+33 301796843.94748074 1.774541068574023e+20 3736.6523391749261 0.35122110133112339 4.6500810210356608e+17 " " c 2.2049488615302266
-7581564393.7724266 4.7575874803307308 -9.533127630804328e+51 -7.4738414983778234e+33 302141197.26337188 1.7790086514671931e+20 3740.7655141062473 0.3512174165636881 4.6896309045578214e+17 " " c 2.2043449207959265
-7567804748.7746525 4.738924601999984 -9.5156457562014509e+51 -7.4367210333779683e+33 302485088.5260275 1.7834751416651029e+20 3744.8677118713936 0.35121375050984022 4.7293926254885997e+17 " " c 2.203741042914511
-7554045103.7768784 4.7203091223774845 -9.4980606661732899e+51 -7.3996948444088171e+33 302828516.44772947 1.7879404961652752e+20 3748.9589245278921 0.35121010306153916 4.7693661852568646e+17 " " c 2.203137232268805
-7540285458.7791042 4.7017411207026365 -9.4803724055695605e+51 -7.3627630890775446e+33 303171479.74324387 1.7924046719862843e+20 3753.0391443377139 0.3512064741115144 4.8095515752054202e+17 " " c 2.2025334932520133
-7526525813.7813301 4.6832206752533523 -9.4625810262632154e+51 -7.3259259230789193e+33 303513977.12981933 1.7968676261684675e+20 3757.1083637668612 0.35120286355325919 4.8499487765562413e+17 " " c 2.2019298302625958
-7512766168.783556 4.6647478633466726 -9.4446865871768166e+51 -7.2891835001965312e+33 303856007.32718587 1.8013293157746314e+20 3761.1665754849319 0.35119927128102474 4.8905577603769178e+17 " " c 2.2013262477087965
-7499006523.7857819 4.6463227613394018 -9.4266891543081997e+51 -7.2525359723040708e+33 304197569.05755305 1.8057896978907539e+20 3765.213772364692 0.35119569718981375 4.9313784875475283e+17 " " c 2.2007227500058253
-7485246878.7880077 4.6279454446287831 -9.4085888007554045e+51 -7.2159834893666497e+33 304538661.04560852 1.810248729626682e+20 3769.2499474816332 0.35119214117537462 4.9724109087281478e+17 " " c 2.2001193415771012
-7471487233.7902336 4.6096159876531759 -9.3903856067408816e+51 -7.1795261994421675e+33 304879282.01851594 1.8147063681168238e+20 3773.2750941135255 0.35118860313419559 5.0136549643273203e+17 " " c 2.1995160268534191
-7457727588.7924595 4.5913344638927729 -9.3720796596349653e+51 -7.1431642486827259e+33 305219430.70591319 1.8191625705208372e+20 3777.2892057399681 0.35118508296349876 5.0551105844709882e+17 " " c 2.1989128102738182
-7443967943.7946854 4.573100945870328 -9.3536710539786086e+51 -7.1068977813360829e+33 305559105.83991003 1.8236172940243124e+20 3781.2922760419265 0.35118158056123416 5.096777688972183e+17 " " c 2.1983096962847428
-7430208298.7969112 4.5549155051519143 -9.3351598915053715e+51 -7.070726939747157e+33 305898306.1550861 1.8280704958394509e+20 3785.2842989012665 0.35117809582607412 5.1386561873014675e+17 " " c 2.1977066893404733
-7416448653.7991371 4.5367782123476967 -9.3165462811626631e+51 -7.0346518643595701e+33 306237030.38848829 1.8325221332057381e+20 3789.2652684002883 0.35117462865740751 5.1807459785580128e+17 " " c 2.1971037939028975
-7402689008.801363 4.5186891371127391 -9.2978303391322308e+51 -6.9986726937172375e+33 306575277.27962834 1.8369721633906128e+20 3793.2351788212386 0.35117117895533395 5.2230469514414669e+17 " " c 2.196501014441723
-7388929363.8035889 4.5006483481478146 -9.2790121888498933e+51 -6.9627895644660033e+33 306913045.57048005 1.8414205436901297e+20 3797.1940246458348 0.35116774662065831 5.2655589842243616e+17 " " c 2.1958983554341645
-7375169718.8058147 4.4826559132002588 -9.2600919610245095e+51 -6.9270026113553151e+33 307250334.00547659 1.8458672314296195e+20 3801.1418005547707 0.35116433155488525 5.308281944725545e+17 " " c 2.1952958213648892
-7361410073.8080406 4.4647118990648282 -9.2410697936561828e+51 -6.8913119672399439e+33 307587141.33150744 1.8503121839643417e+20 3805.0785014272187 0.35116093366021334 5.3512156902838586e+17 " " c 2.1946934167261851
-7347650428.8102665 4.446816371584589 -9.221945832053696e+51 -6.8557177630817466e+33 307923466.29791534 1.8547553586801331e+20 3809.0041223403291 0.35115755283952987 5.3943600677330048e+17 " " c 2.19409114601845
-7333890783.8124924 4.4289693956518219 -9.2027202288511725e+51 -6.8202201279514746e+33 308259307.65649295 1.8591967129940519e+20 3812.9186585687171 0.35115418899640549 5.4377149133768531e+17 " " c 2.1934890137489846
-7320131138.8147182 4.4111710352089588 -9.1833931440239546e+51 -6.7848191890306185e+33 308594664.16147959 1.8636362043550158e+20 3816.8221055839531 0.35115084203508862 5.4812800529654074e+17 " " c 2.1928870244325323
-7306371493.8169441 4.3934213532495239 -9.1639647449037056e+51 -6.7495150716133024e+33 308929534.56955755 1.8680737902444351e+20 3820.7144590540347 0.35114751186050025 5.5250553016716717e+17 " " c 2.1922851825910592
-7292611848.81917 4.3757204118191115 -9.1444352061927272e+51 -6.714307899108214e+33 309263917.63984859 1.8725094281768413e+20 3824.5957148428643 0.35114419837822858 5.5690404640692915e+17 " " c 2.1916834927553079
-7278852203.8213959 4.3580682720163795 -9.1248047099774817e+51 -6.6791977930405791e+33 309597812.13390994 1.8769430757005099e+20 3828.4658690097126 0.35114090149452404 5.6132353341104877e+17 " " c 2.1910819594618247
-7265092558.8236217 4.3404649939940567 -9.1050734457413273e+51 -6.6441848730541789e+33 309931216.81573039 1.8813746903980779e+20 3832.3249178086803 0.35113762111629376 5.6576396951052e+17 " " c 2.1904805872553745
-7251332913.8258476 4.3229106369599828 -9.0852416103764522e+51 -6.6092692569134057e+33 310264130.4517262 1.8858042298871559e+20 3836.1728576881501 0.35113435715109675 5.7022533197007136e+17 " " c 2.1898793806871848
-7237573268.8280735 4.305405259178162 -9.0653094081950167e+51 -6.5744510605053636e+33 310596551.81073684 1.8902316518209352e+20 3840.0096852902375 0.35113110950713872 5.7470759698620026e+17 " " c 2.1892783443176644
-7223813623.8302994 4.2879489179698371 -9.0452770509394865e+51 -6.5397303978420059e+33 310928479.66402036 1.8946569138887901e+20 3843.8353974502343 0.35112787809326695 5.7921073968527821e+17 " " c 2.1886774827123276
-7210053978.8325253 4.2705416697145875 -9.0251447577921647e+51 -6.5051073810623154e+33 311259912.78524917 1.8990799738168735e+20 3847.64999119604 0.35112466281896532 5.8373473412174451e+17 " " c 2.1880768004449358
-7196294333.8347511 4.2531835698514442 -9.0049127553839178e+51 -6.4705821204345237e+33 311590849.95050502 1.9035007893687075e+20 3851.4534637475972 0.35112146359434959 5.8827955327633792e+17 " " c 2.1874763020967318
-7182534688.836977 4.2358746728800263 -8.9845812778020826e+51 -6.4361547243583721e+33 311921289.9382742 1.9079193183457693e+20 3855.2458125163148 0.35111828033016224 5.9284516905444685e+17 " " c 2.1868759922555734
